"","GRCODE","GRNAME","AccidentYear","DevelopmentYear","DevelopmentLag","IncurLoss_F2","CumPaidLoss_F2","BulkLoss_F2","EarnedPremDIR_F2","EarnedPremCeded_F2","EarnedPremNet_F2","Single","PostedReserve97_F2"
"1",669,"Scpie Indemnity Co",1988,1988,1,121905,2716,97966,129104,-6214,135318,0,344558
"2",669,"Scpie Indemnity Co",1988,1989,2,112211,24576,64117,129104,-6214,135318,0,344558
"3",669,"Scpie Indemnity Co",1988,1990,3,103226,43990,39008,129104,-6214,135318,0,344558
"4",669,"Scpie Indemnity Co",1988,1991,4,99599,59722,20736,129104,-6214,135318,0,344558
"5",669,"Scpie Indemnity Co",1988,1992,5,96006,71019,13599,129104,-6214,135318,0,344558
"6",669,"Scpie Indemnity Co",1988,1993,6,90487,76354,10577,129104,-6214,135318,0,344558
"7",669,"Scpie Indemnity Co",1988,1994,7,82640,76792,3762,129104,-6214,135318,0,344558
"8",669,"Scpie Indemnity Co",1988,1995,8,80406,77207,2105,129104,-6214,135318,0,344558
"9",669,"Scpie Indemnity Co",1988,1996,9,78920,77588,819,129104,-6214,135318,0,344558
"10",669,"Scpie Indemnity Co",1988,1997,10,78511,77656,407,129104,-6214,135318,0,344558
"11",669,"Scpie Indemnity Co",1989,1989,1,122679,3835,104402,131948,20010,111938,0,344558
"12",669,"Scpie Indemnity Co",1989,1990,2,113165,25158,63198,131948,20010,111938,0,344558
"13",669,"Scpie Indemnity Co",1989,1991,3,110037,45145,37567,131948,20010,111938,0,344558
"14",669,"Scpie Indemnity Co",1989,1992,4,101142,60331,21284,131948,20010,111938,0,344558
"15",669,"Scpie Indemnity Co",1989,1993,5,90817,67457,12614,131948,20010,111938,0,344558
"16",669,"Scpie Indemnity Co",1989,1994,6,81919,70821,6276,131948,20010,111938,0,344558
"17",669,"Scpie Indemnity Co",1989,1995,7,77491,71769,3915,131948,20010,111938,0,344558
"18",669,"Scpie Indemnity Co",1989,1996,8,73577,72085,1311,131948,20010,111938,0,344558
"19",669,"Scpie Indemnity Co",1989,1997,9,72716,72035,539,131948,20010,111938,0,344558
"20",669,"Scpie Indemnity Co",1989,1998,10,72317,72171,58,131948,20010,111938,0,344558
"21",669,"Scpie Indemnity Co",1990,1990,1,118157,4838,99473,112742,13449,99293,0,344558
"22",669,"Scpie Indemnity Co",1990,1991,2,117497,27965,56076,112742,13449,99293,0,344558
"23",669,"Scpie Indemnity Co",1990,1992,3,116377,50873,32771,112742,13449,99293,0,344558
"24",669,"Scpie Indemnity Co",1990,1993,4,99895,66400,15125,112742,13449,99293,0,344558
"25",669,"Scpie Indemnity Co",1990,1994,5,89252,71875,10652,112742,13449,99293,0,344558
"26",669,"Scpie Indemnity Co",1990,1995,6,81916,74755,5861,112742,13449,99293,0,344558
"27",669,"Scpie Indemnity Co",1990,1996,7,79134,75176,3857,112742,13449,99293,0,344558
"28",669,"Scpie Indemnity Co",1990,1997,8,76333,75250,1057,112742,13449,99293,0,344558
"29",669,"Scpie Indemnity Co",1990,1998,9,75612,75250,336,112742,13449,99293,0,344558
"30",669,"Scpie Indemnity Co",1990,1999,10,75350,75250,74,112742,13449,99293,0,344558
"31",669,"Scpie Indemnity Co",1991,1991,1,117981,4456,93508,101814,5331,96483,0,344558
"32",669,"Scpie Indemnity Co",1991,1992,2,122443,34241,34866,101814,5331,96483,0,344558
"33",669,"Scpie Indemnity Co",1991,1993,3,121056,64737,20295,101814,5331,96483,0,344558
"34",669,"Scpie Indemnity Co",1991,1994,4,113795,79390,20724,101814,5331,96483,0,344558
"35",669,"Scpie Indemnity Co",1991,1995,5,102830,84465,10313,101814,5331,96483,0,344558
"36",669,"Scpie Indemnity Co",1991,1996,6,98071,87375,6756,101814,5331,96483,0,344558
"37",669,"Scpie Indemnity Co",1991,1997,7,94870,89119,4403,101814,5331,96483,0,344558
"38",669,"Scpie Indemnity Co",1991,1998,8,91062,89825,488,101814,5331,96483,0,344558
"39",669,"Scpie Indemnity Co",1991,1999,9,90493,90333,138,101814,5331,96483,0,344558
"40",669,"Scpie Indemnity Co",1991,2000,10,90345,90343,2,101814,5331,96483,0,344558
"41",669,"Scpie Indemnity Co",1992,1992,1,131059,5970,103660,94694,-3914,98608,0,344558
"42",669,"Scpie Indemnity Co",1992,1993,2,130155,36080,37632,94694,-3914,98608,0,344558
"43",669,"Scpie Indemnity Co",1992,1994,3,124195,68268,26737,94694,-3914,98608,0,344558
"44",669,"Scpie Indemnity Co",1992,1995,4,113974,81783,18537,94694,-3914,98608,0,344558
"45",669,"Scpie Indemnity Co",1992,1996,5,106817,86076,14900,94694,-3914,98608,0,344558
"46",669,"Scpie Indemnity Co",1992,1997,6,99182,87167,8312,94694,-3914,98608,0,344558
"47",669,"Scpie Indemnity Co",1992,1998,7,92588,88282,1495,94694,-3914,98608,0,344558
"48",669,"Scpie Indemnity Co",1992,1999,8,91000,88857,768,94694,-3914,98608,0,344558
"49",669,"Scpie Indemnity Co",1992,2000,9,89256,89087,109,94694,-3914,98608,0,344558
"50",669,"Scpie Indemnity Co",1992,2001,10,89251,89102,87,94694,-3914,98608,0,344558
"51",669,"Scpie Indemnity Co",1993,1993,1,134700,9398,92455,99099,-34,99133,0,344558
"52",669,"Scpie Indemnity Co",1993,1994,2,130757,46210,28503,99099,-34,99133,0,344558
"53",669,"Scpie Indemnity Co",1993,1995,3,125253,77045,25047,99099,-34,99133,0,344558
"54",669,"Scpie Indemnity Co",1993,1996,4,114717,86298,18165,99099,-34,99133,0,344558
"55",669,"Scpie Indemnity Co",1993,1997,5,111294,91796,15626,99099,-34,99133,0,344558
"56",669,"Scpie Indemnity Co",1993,1998,6,98014,93827,2699,99099,-34,99133,0,344558
"57",669,"Scpie Indemnity Co",1993,1999,7,96872,95871,911,99099,-34,99133,0,344558
"58",669,"Scpie Indemnity Co",1993,2000,8,95714,95943,-229,99099,-34,99133,0,344558
"59",669,"Scpie Indemnity Co",1993,2001,9,96017,95987,30,99099,-34,99133,0,344558
"60",669,"Scpie Indemnity Co",1993,2002,10,96047,96008,39,99099,-34,99133,0,344558
"61",669,"Scpie Indemnity Co",1994,1994,1,136749,6181,86894,103343,6246,97097,0,344558
"62",669,"Scpie Indemnity Co",1994,1995,2,128192,39204,40794,103343,6246,97097,0,344558
"63",669,"Scpie Indemnity Co",1994,1996,3,121355,70006,26847,103343,6246,97097,0,344558
"64",669,"Scpie Indemnity Co",1994,1997,4,111877,82385,20401,103343,6246,97097,0,344558
"65",669,"Scpie Indemnity Co",1994,1998,5,96152,86523,6253,103343,6246,97097,0,344558
"66",669,"Scpie Indemnity Co",1994,1999,6,91502,88387,2064,103343,6246,97097,0,344558
"67",669,"Scpie Indemnity Co",1994,2000,7,90498,90408,-36,103343,6246,97097,0,344558
"68",669,"Scpie Indemnity Co",1994,2001,8,91870,90525,0,103343,6246,97097,0,344558
"69",669,"Scpie Indemnity Co",1994,2002,9,91848,91640,30,103343,6246,97097,0,344558
"70",669,"Scpie Indemnity Co",1994,2003,10,91938,91796,11,103343,6246,97097,0,344558
"71",669,"Scpie Indemnity Co",1995,1995,1,140962,7828,94269,109098,7498,101600,0,344558
"72",669,"Scpie Indemnity Co",1995,1996,2,132405,42356,39510,109098,7498,101600,0,344558
"73",669,"Scpie Indemnity Co",1995,1997,3,118332,70729,30430,109098,7498,101600,0,344558
"74",669,"Scpie Indemnity Co",1995,1998,4,100050,79340,14715,109098,7498,101600,0,344558
"75",669,"Scpie Indemnity Co",1995,1999,5,88809,81142,5435,109098,7498,101600,0,344558
"76",669,"Scpie Indemnity Co",1995,2000,6,82360,81891,385,109098,7498,101600,0,344558
"77",669,"Scpie Indemnity Co",1995,2001,7,81986,81905,77,109098,7498,101600,0,344558
"78",669,"Scpie Indemnity Co",1995,2002,8,81887,81897,48,109098,7498,101600,0,344558
"79",669,"Scpie Indemnity Co",1995,2003,9,81796,81781,15,109098,7498,101600,0,344558
"80",669,"Scpie Indemnity Co",1995,2004,10,81782,81782,0,109098,7498,101600,0,344558
"81",669,"Scpie Indemnity Co",1996,1996,1,134473,8854,86910,108464,6927,101537,0,344558
"82",669,"Scpie Indemnity Co",1996,1997,2,128980,51400,30659,108464,6927,101537,0,344558
"83",669,"Scpie Indemnity Co",1996,1998,3,113645,81653,15815,108464,6927,101537,0,344558
"84",669,"Scpie Indemnity Co",1996,1999,4,104273,90504,7588,108464,6927,101537,0,344558
"85",669,"Scpie Indemnity Co",1996,2000,5,99276,94284,1705,108464,6927,101537,0,344558
"86",669,"Scpie Indemnity Co",1996,2001,6,97782,96456,435,108464,6927,101537,0,344558
"87",669,"Scpie Indemnity Co",1996,2002,7,97282,97305,-5,108464,6927,101537,0,344558
"88",669,"Scpie Indemnity Co",1996,2003,8,97738,97175,162,108464,6927,101537,0,344558
"89",669,"Scpie Indemnity Co",1996,2004,9,97601,97212,171,108464,6927,101537,0,344558
"90",669,"Scpie Indemnity Co",1996,2005,10,97251,97225,23,108464,6927,101537,0,344558
"91",669,"Scpie Indemnity Co",1997,1997,1,137944,7818,92560,112042,3844,108198,0,344558
"92",669,"Scpie Indemnity Co",1997,1998,2,127727,47098,30392,112042,3844,108198,0,344558
"93",669,"Scpie Indemnity Co",1997,1999,3,114057,84142,13416,112042,3844,108198,0,344558
"94",669,"Scpie Indemnity Co",1997,2000,4,107001,93724,4038,112042,3844,108198,0,344558
"95",669,"Scpie Indemnity Co",1997,2001,5,102143,97401,1579,112042,3844,108198,0,344558
"96",669,"Scpie Indemnity Co",1997,2002,6,99665,97726,1172,112042,3844,108198,0,344558
"97",669,"Scpie Indemnity Co",1997,2003,7,99942,98250,1161,112042,3844,108198,0,344558
"98",669,"Scpie Indemnity Co",1997,2004,8,99968,98355,908,112042,3844,108198,0,344558
"99",669,"Scpie Indemnity Co",1997,2005,9,99590,98627,448,112042,3844,108198,0,344558
"100",669,"Scpie Indemnity Co",1997,2006,10,99378,98655,209,112042,3844,108198,0,344558
"101",683,"Promutual Grp",1988,1988,1,43393,292,15624,53178,0,53178,0,125868
"102",683,"Promutual Grp",1988,1989,2,39560,4697,0,53178,0,53178,0,125868
"103",683,"Promutual Grp",1988,1990,3,50398,13938,8431,53178,0,53178,0,125868
"104",683,"Promutual Grp",1988,1991,4,46630,21175,5611,53178,0,53178,0,125868
"105",683,"Promutual Grp",1988,1992,5,44007,24834,3813,53178,0,53178,0,125868
"106",683,"Promutual Grp",1988,1993,6,30000,22360,1463,53178,0,53178,0,125868
"107",683,"Promutual Grp",1988,1994,7,27171,24779,-567,53178,0,53178,0,125868
"108",683,"Promutual Grp",1988,1995,8,27395,25792,687,53178,0,53178,0,125868
"109",683,"Promutual Grp",1988,1996,9,27034,25891,534,53178,0,53178,0,125868
"110",683,"Promutual Grp",1988,1997,10,26804,25942,252,53178,0,53178,0,125868
"111",683,"Promutual Grp",1989,1989,1,23460,524,0,60809,0,60809,0,125868
"112",683,"Promutual Grp",1989,1990,2,54478,3666,12869,60809,0,60809,0,125868
"113",683,"Promutual Grp",1989,1991,3,50633,11778,12791,60809,0,60809,0,125868
"114",683,"Promutual Grp",1989,1992,4,46938,19663,8593,60809,0,60809,0,125868
"115",683,"Promutual Grp",1989,1993,5,34432,19941,4171,60809,0,60809,0,125868
"116",683,"Promutual Grp",1989,1994,6,30406,25068,-359,60809,0,60809,0,125868
"117",683,"Promutual Grp",1989,1995,7,30408,26915,2643,60809,0,60809,0,125868
"118",683,"Promutual Grp",1989,1996,8,29794,26971,2098,60809,0,60809,0,125868
